Time,Type,Location,Content
1648309463,Highlight,83,"“The marginal return of working harder was, in fact, negative.”"
1648353813,Highlight,127,"Essentialism: The Disciplined Pursuit of Less,"
1648354304,Highlight,151,“big rocks theory.” It’s the well-known story of a teacher who picks up a large empty jar. She pours in some small pebbles at the bottom. Then she tries to place some larger rocks on top. The problem is that they don’t fit. The teacher then gets a new empty container of the same size. This time she puts the large rocks in first. Then the small pebbles in second. This time they fit.
1648365095,Highlight,189,Essentialism was about doing the right things; Effortless is about doing them in the right way.
1648385386,Highlight,222,"When our brains are at full capacity, everything feels harder. Fatigue slows us down."
1648385650,Highlight,245,"Anything Can Be Made Effortless, but Not Everything"
1648386427,Highlight,270,The best free throw shooter ever is not Michael Jordan or Steph Curry. It’s Elena Delle Donne. Her success rate at the free throw line across her career is 93.4 percent. That’s not just the highest in WNBA history but higher than any player in NBA history as well. If
1648386459,Highlight,275,"“If you keep it simple, less can go wrong,” she says."
1648386727,Highlight,285,"Our brain’s processing capacity is large, but limited. It already processes over six thousand thoughts a day."
1648386735,Highlight,283,"negative emotions, and toxic thought patterns—you have less mental energy available to perform what’s most essential."
1648398909,Highlight,303,"When you return to your Effortless State, you feel lighter,"
1648398945,Highlight,307,"The Effortless State is one in which you are physically rested, emotionally unburdened, and mentally energized."
1648431201,Highlight,332,The problem is that the complexity of modern life has created a false dichotomy between things that are “essential and hard” and things that are “easy and trivial.”
1648431620,Highlight,347,"This bias is sometimes called the cognitive ease principle, or the principle of least effort."
1648431631,Highlight,346,"Our brain is wired to resist what it perceives as hard and welcome what it perceives as easy. This bias is sometimes called the cognitive ease principle, or the principle of least effort."
1648604574,Highlight,489,"As a result, not only do more people participate, they actually look forward to participating again, year after year."
1648604765,Highlight,511,But essential activities don’t have to be enjoyed only in retrospect. We can also experience joy in the activity itself. We simply reduce the lag time between the action and satisfaction by pairing the essential activity with a reward.
1648605266,Highlight,538,"“if we can break down the processes into those steps, we may find ways to make the steps more bearable, or better yet, fun.”"
1648605305,Highlight,541,So why not pair it with running on the treadmill or doing the dishes or returning phone calls?
1648605355,Highlight,545,"He doesn’t reward himself after he has finished his workout; he rewards himself during. Ever since he made this essential practice enjoyable,"
1648639880,Highlight,595,"Habits explain “what” you do, but rituals are about “how” you do it."
1648640328,Highlight,617,culmination
1648640381,Highlight,623,"Evidently,"
1648640798,Highlight,656,"When you focus on something you are thankful for, the effect is instant. It immediately shifts you from a lack state (regrets, worries about the future, the feeling of being behind) and puts you into a have state (what is going right, what progress you are making, what potential exists in this moment)."
1648640922,Highlight,664,The broaden-and-build theory in psychology offers an explanation for why this is the case. Positive emotions open us to new perspectives and possibilities.
1648640967,Highlight,671,"When you focus on what you have, you get what you lack."
1648641291,Highlight,680,a system is self-sustaining if it requires less and less investment of energy over time.
1648653427,Highlight,698,"We can apply this idea to make gratitude a habit, by using the following recipe: After I complain I will say something I am thankful for."
1648738608,Highlight,788,Rest proved an antidote for both pre-existing and future stress.
1648738819,Highlight,811,"In fact, one study found that the best-performing athletes, musicians, chess players, and writers all honed their skills in the same way: by practicing in the morning, in three sessions of sixty to ninety minutes, with breaks in between. Meanwhile, those who took fewer or shorter breaks performed less well."
1648740298,Highlight,814,"“To maximize gains from long-term practice,” the study’s lead author, K. Anders Ericsson, concluded, “individuals must avoid exhaustion and must limit practice to an amount from which they can completely recover on a daily or weekly basis.”"
1648740583,Highlight,843,"When we are struggling, instead of doubling down on our efforts, we might consider pausing the action—even for one minute."
1648824947,Highlight,875,"Healthy adults spend an average of 13 to 23 percent of their night in deep sleep. So if you sleep for seven hours, that translates to just fifty to one hundred minutes in a deep state."
