Time,Type,Location,Content
1614149991,Highlight,189,《博弈論與經濟行為》
1614177905,Highlight,283,所以，成功以及成功的博弈需要經驗支撐。然而經驗卻是需要在人生的漫長旅途中逐漸積累的。只有經歷過的人生，才給我們以經驗；未曾經歷的人生，就沒有經驗。
1614179521,Highlight,486,你可以用工程師的思維將區間一分為二，儘可能做到最好。但在博弈對局中，你需要考慮其他參與人將如何行動，以及那些人的決策將如何影響你的策略。
1614350527,Highlight,856,不過，這個故事卻很有價值。它描述了跟那些
1614350542,Highlight,856,不過，這個故事卻很有價值。它描述了跟那些沒有讀過本書的人討價還價可能存在什麼樣的危險。更
1614350556,Highlight,856,不過，這個故事卻很有價值。它描述了跟那些沒有讀過本書的人討價還價可能存在什麼樣的危險。
1614761418,Highlight,1364,當你嘗試站在對方的立場上看問題時，你必須知道他們知道的信息，不知道他們不知道的信息。你的目標必須是他們的目標，而不是你所希望的他們的目標。
1614761678,Highlight,1403,從這個故事中可總結的教訓之一是，如果你不得不冒一點風險，通常是越早冒險越好。
1615711207,Highlight,1997,即使是相對有利，解決它的唯一方法是淘汰整個種羣，重新開始。
1615964271,Highlight,2660,檢查是否有必要隨機行動的一種簡單的方法是，看看讓另一個參與者在做出迴應之前，看穿你真實的選擇是否對你有害。若這會對你不利，讓別人保持猜測的隨機行動就是有利的。
1614178667,Bookmark,361
