Time,Type,Location,Content
1611654647,Highlight,4649,如果你想要改變別人的想法，要訴諸利益，而非訴諸理性。
1611742108,Highlight,4865,總之我推薦你們使用這種解決問題的方法，遇到問題要進行正向思考和逆向思考。 我還建議學院派經濟學要更致力於我在這裡談的這些小小的微觀經濟學問題。
1612056618,Highlight,5358,孝道」（filial piety）
1612056698,Highlight,5365,：「要得到你想要的東西，最可靠的辦法，是讓自己配得上擁有它。
1612057423,Highlight,5472,一般而言，妒忌、怨憎、仇恨和自憐，都是災難性的思想狀態。
1612064647,Highlight,5497,遇到這種情況，正確的說服技巧，是富蘭克林所指 出的那種。他說：「如果你想要說服別人，要訴諸利益，而非訴諸理性。」
1612074581,Highlight,5774,學院派心理學雖然有許多缺點，但也有一些非常重要的優點。我在廣泛閱讀的過程中，看到一本叫《影響力》的書。這是本通俗讀物，作者是傑出的心理學教授羅伯特．西奧迪尼，任教於規模非常大的亞利桑 那州立大學
1612272088,Highlight,5992,具體來說，祖母規矩就是要求孩子在吃甜點前，先把胡蘿蔔吃掉。應用在企業界，就是要求管理者每天強迫自己先完成不喜歡卻重要的任務，再以處理喜歡的任務做為獎勵。
1612272832,Highlight,6051,人類的大腦天生就有一種傾向，會盡快做出決定以便消除懷疑。
1612272921,Highlight,6061,引發避免懷疑傾向的因素通常是：一、困惑及；二、壓力的綜合作用。面對宗教問題時，這兩種因 然都存在。
1612405078,Highlight,6267,避免因為過去的成功而做蠢事的破解對策是：一、謹慎審視以往的每次成功，找出成功的偶然因素，以免受這些因素誤導，進而誇大新計畫成功的機率；二、看看新的行動計畫中，將會遇到哪些在以往成功經驗中沒有出現的風險。
1612418487,Highlight,6294,要避免類似下場，正確的對策是：有意識地養成歡迎壞消息的習慣。 在波克夏有一條普遍的規矩：「有壞消息要立刻彙報；只有好消息是可以等待
1612418498,Highlight,6294,要避免類似下場，正確的對策是：有意識地養成歡迎壞消息的習慣。 在波克夏有一條普遍的規矩：「有壞消息要立刻彙報；只有好消息是可以等待的。」還有就是
1612418516,Highlight,6294,要避免類似下場，正確的對策是：有意識地養成歡迎壞消息的習慣。 在波克夏有一條普遍的規矩：「有壞消息要立刻彙報；只有好消息是可以等待的。」還有
1612420847,Highlight,6369,「托爾斯泰效應」 的後半部分是很重要的，也就是人不去改變自己，而只為自己的表現找藉口。
1612486934,Highlight,6564,沉重壓力導致的非憂鬱性精神問題
1612487587,Highlight,6589,施加大量的壓力可能是治療「喪失心智」的唯一方法。
1612624175,Highlight,6900,的《教養的迷思》。
1612624881,Highlight,6993,當他專注於整夜都沒解開的數學問題時，如何還會為日出而驚喜呢？還有
1612624893,Highlight,6993,當他專注於整夜都沒解開的數學問題時，如何還會為日出而驚喜呢？還有
1612624919,Highlight,6993,當他專注於整夜都沒解開的數學問題時，如何還會為日出而驚喜呢？還有多少睿智而可敬的老人，會因沉浸在思考學習中而表現得興高采烈呢？」
1612658759,Highlight,7186,最轟動的戰役，就是在蒙格主導下，波克夏買進中國電動車先驅比亞迪近一○％的股份，在股神的加持 下，比亞迪股價一度衝高到港幣八十四元，雖然最近（二○一一年四月初）已從高點回跌到二十八元（按：二○一四年七月已回升至五十元上下），但波克夏這筆投資，帳上還是有四倍獲利。蒙格更被巴菲特戲稱為「比亞迪先生 」。 目前，比亞迪投資績效還沒蓋棺論定，但蒙格在專訪中認為「中國走對了路」，爆發力就像黃金年代的美國。
1612705658,Highlight,7293,答： 印度跟中國非常不同，印度傳承了民主制度，好的壞的都接受了，學習到壞的比 好的多，貪污非常嚴重，近年經濟雖然發展不錯，但比不上中國。我從來不曾 看到中國有乞丐，但印度非常多。
1612705715,Highlight,7304,答： 中國發展起來，對台灣當然是大幫助，兩岸貿易量大增，最不希望看到台灣及中國惡言相向，同樣民族，一樣的儒家文化，我對台灣認識不多，在中國快速發展時，台灣也跟得很快。對我一個外面的人來說，中國、 台灣我根本分不出來（大笑），中國很多經濟政策是從台灣抄去的。
1612706964,Highlight,7432,但如果對孩子提供嚴肅的建議，他常會將他的意思編進某個故事，教孩子們坐下來聽，這樣就不會顯得是在責備某個特定的人。
1612404706,Bookmark,6210
1612710129,Bookmark,7522
