Time,Type,Location,Content
1647671097,Highlight,2081,付出，然後才有收穫
1647671531,Highlight,2144,只是想要獲得、擁有、征服它而已……你所説的“被動墜入的愛”其實就是這種擁有欲和征服欲。
1647671631,Highlight,2160,要理解這一觀點，不僅僅是阿德勒，最好也聽聽埃裏克·弗洛姆的話。他出版了暢銷世界的名為《愛的藝術》的著作。
1647671894,Highlight,2213,我們都是只有在感到“我對某人有用”的時候才能夠體會到自己的價值。
1647672199,Highlight,2242,我”這一人生主語就變成了“我們”
1647672541,Highlight,2282,自立就是“脱離自我中心性”
1647672819,Highlight,2295,愛是“由兩個人共同完成的課題”，在這裏必須追求的既不是“我”的幸福又不是“你”的幸福，而是“我們”的幸福。唯有如此，我們才可以脱離“自我”，才可以從自我中心性中解放出來，實現真正的自立。
1647672877,Highlight,2313,我們選擇自己生活方式的時候，其目標只能是“如何被愛”。作為性命攸關的生存戰略，我們都會選擇“被愛的生活方式”。
1647685580,Highlight,2402,愛是明明沒有任何保證卻依然會發起行動，抱着自己如果愛的話對方心中也一定會產生愛這樣的希望，全心全意地自我奉獻。
1647685659,Highlight,2418,愛是你的課題，但是，對方如何迴應你的愛，那是他人的課題，你根本無法掌控。你能做的唯有分離課題，自己先去愛。
1647685845,Highlight,2452,要將這種簡單的“相遇”發展成某種“關係”的話，那需要一定的勇氣。比如，主動搭腔或者寫信。
1647685854,Highlight,2455,所以，沒有足夠的勇氣涉足“關係”的人會怎麼做呢？沉迷於“命中註定的人”這一幻想之中
1647686396,Highlight,2541,如果懂得愛並以“我們”為主語活着，事情就會發生變化。你就會感受到僅僅活着就可以互相貢獻，包括全人類在內的“我們”。
1647686411,Highlight,2545,“主動去愛、自立起來、選擇人生”
1647686459,Highlight,2558,“保持單純很難”
1647686467,Highlight,2556,“世界很簡單，人生也是一樣”
1647686533,Highlight,2579,在所有的相遇與人際關係中，不斷朝着“最佳分別”努力。唯有如此。 青年：
1647686541,Highlight,2579,在所有的相遇與人際關係中，不斷朝着“最佳分別”努力。唯有如此。
